Name,Category,Feeling,Disease,Continent,Rarity,Caffeine
Chamomile,herbal tea,calming,"insomnia,digestion,irritable bowel syndrome,anxiety,depression,menstrual cramp,eczema,sunburn,cold/flu",europe,common,
Kuding,herbal tea,energy,"high blood pressure,high cholesterol,fatigue",asia,rare,
Peppermint,herbal tea,calming,"digestion,tension headache,migraine",europe,common,
Kelp,herbal tea,energy,"thyroid,mineral deficiency,hair loss",asia,rare,
Rosehip,herbal tea,energy,"cold/flu,arthritis,urinary tract infections","europe,north america",rare,
Rooibos,herbal tea,calming,"insomnia,allergies",africa,rare,
Ginger,herbal tea,warm,"nausea,digestion,cold/flu,menstrual cramp,migraine",asia,common,
Dandelion,herbal tea,detox,"liver,bloating,constipation,acne","europe,asia",rare,
Nettle,herbal tea,detox,"arthritis,allergies,eczema,anemia,urinary tract infections","europe,asia,north america",rare,
Hibiscus,herbal tea,calming,"high blood pressure,high cholesterol,liver","africa,central america,asia",common,
Lemon Balm,herbal tea,calming,"anxiety,insomnia,digestion","europe,asia",rare,
Moringa,herbal tea,energy,"anemia,diabetes,arthritis","asia,africa",rare,
Passionflower,herbal tea,sleep,"anxiety,insomnia,depression,nervous","north america,south america",rare,
Sage,herbal tea,cognition,"cognition,menopause,sore throat","europe,mediterranean",rare,
Turmeric,herbal tea,immune,"arthritis,digestion,liver,inflammation",asia,common,
Chaga,herbal tea,calming,"inflammation,high blood pressure,high cholesterol,autoimmune","europe,asia,north america",rare,
Echinacea,herbal tea,immune,"cold/flu,upper respiratory infections,inflammation,anxiety,migraine",north america,rare,
Matcha,green tea,energy,"cognition,weight loss,heart disease,diabetes",asia,common,checked
Darjeeling,black tea,energy,"digestion,heart disease,cognition,dental",asia,rare,checked
Hawthorn,herbal tea,calming,"high blood pressure,heart disease,chest pain,digestion","europe,north america,asia",rare,
Ashwagandha,herbal tea,calming,"stress,anxiety,depression,inflammation,adrenal fatigue",asia,rare,
Lemongrass,herbal tea,calming,"digestion,high blood pressure,insomnia,stress","africa,asia",rare,
Ginseng,herbal tea,energy,"fatigue,cognition,inflammation,immune system,diabetes","asia,north america",common,
Valerian,herbal tea,sleep,"insomnia,anxiety,stress,tension headache,migraine,menstrual cramp","europe,asia,north america",rare,
Lavender,herbal tea,calming,"anxiety,stress,insomnia,digestion,tension headache,migraine","europe,asia,africa",common,
Yerba Mate,herbal tea,energy,"fatigue,weight loss,alertness,inflammation,digestion",south america,common,
Licorice Root,herbal tea,energy,"digestion,sore throat,bronchitis,asthma,cough,adrenal fatigue","europe,asia",rare,
Cinnamon,herbal tea,calming,"diabetes,metabolic syndrome,inflammation,heart disease,digestion","asia,middle east",rare,
Burdock Root,herbal tea,detox,"acne,eczema,psoriasis,liver,hepatitis,cirrhosis,digestion","europe,asia",rare,
Pu-erh,fermented tea,detox,"digestion,high cholesterol,weight loss,inflammation",asia,,